gender,height,foot_length
F,158,22
F,159,22.7
F,162,22.7
F,168,22.7
F,164,22.7
F,165,22.7
F,156,22.7
F,163,23.3
F,160,23.3
F,155,23.3
F,158,23.3
F,158,23.3
F,164,23.3
F,172,23.3
F,165,23.3
F,160,23.3
F,174,23.3
F,163,23.3
F,165,23.3
F,157,23.3
F,161,23.3
F,160,24
F,168,24
F,168,24
F,163,24
F,168,24
F,169,24
F,159,24
F,165,24
F,163,24
F,168,24
F,163,24
F,161,24
F,163,24
F,168,24
F,170,24
F,168,24
F,168,24
F,173,24
F,159,24
F,170,24
F,166,24
F,163,24
F,168,24
F,171,24.7
F,170,24.7
F,163,24.7
F,167,24.7
F,171,24.7
F,178,24.7
F,175,24.7
F,165,24.7
F,171.5,24.7
F,170,24.7
F,183,24.7
F,178,24.7
F,169,24.7
F,164,24.7
F,172,24.7
F,174,24.7
F,172,24.7
F,168,24.7
F,160,25.3
F,171,25.3
F,176,25.3
F,169,25.3
F,176,25.3
F,170,25.3
F,171,25.3
F,171,25.3
F,169,25.3
F,173,25.3
F,160,25.3
F,173,25.3
M,171,26
F,178,26
M,172,26
F,180,26.7
M,180,26.7
M,180,26.7
M,175,26.7
M,185,26.7
M,175,26.7
M,175,28
M,178,28
M,187,28
M,180,28
M,183,28
M,183,28
M,183,28
M,183,29.3
M,195,29.3
F,169.48,35.01
F,166.2,26.21
F,158.04,24.94
F,157.75,21.8
F,157.35,23.3
M,184.4,29.12
M,177.12,25.88
F,160.46,24.64
M,188.33,27.53
M,176.4,25.78
M,178.62,27.4
M,173.35,25.57
M,168.09,24.45
F,154.58,22.8
M,156.85,27.01
M,180.71,27.95
M,181.72,28.45
F,156.21,23.93
F,156.74,23.24
M,186.43,30.21
F,156.51,20.31
F,162.2,24.51
F,177.3,22.59
M,171.15,25.89
M,183.54,29.32
M,177.2,25.23
M,174.33,26.5
M,183.43,27.33
F,179.1,26.21
F,155.2,23
M,158.42,24.38
F,153.45,24.65
F,175.1,25.3
F,168.94,28.12
M,175.12,26.03
M,181.18,26.34
M,186.86,27.5
M,185.44,26.48
M,184.51,29.9
M,179.13,28.21
F,167.21,26.89
M,176.62,24.61
F,151.87,22.15
M,169.25,24.25
M,171.12,25.33
M,177.75,26.71
F,168.75,27.74
M,169.18,26.6
F,155.8,22.34
F,153.72,24.34
